Name,SYMBOL,NAME OF COMPANY, SERIES
KMSUGAR.NS,KMSUGAR,K.M.Sugar Mills Limited,EQ
KNRCON.NS,KNRCON,KNR Constructions Limited,EQ
KOHINOOR.NS,KOHINOOR,Kohinoor Foods Limited,BZ
KOKUYOCMLN.NS,KOKUYOCMLN,Kokuyo Camlin Limited,EQ
KOLTEPATIL.NS,KOLTEPATIL,Kolte - Patil Developers Limited,EQ
KOPRAN.NS,KOPRAN,Kopran Limited,EQ
KOTAKBANK.NS,KOTAKBANK,Kotak Mahindra Bank Limited,EQ
KOTARISUG.NS,KOTARISUG,Kothari Sugars And Chemicals Limited,EQ
KOTHARIPET.NS,KOTHARIPET,Kothari Petrochemicals Limited,EQ
KOTHARIPRO.NS,KOTHARIPRO,Kothari Products Limited,EQ
KPITTECH.NS,KPITTECH,KPIT Technologies Limited,EQ
KPRMILL.NS,KPRMILL,K.P.R. Mill Limited,EQ
KRBL.NS,KRBL,KRBL Limited,EQ
KREBSBIO.NS,KREBSBIO,Krebs Biochemicals and Industries Limited,EQ
KRIDHANINF.NS,KRIDHANINF,Kridhan Infra Limited,BE
KRISHANA.NS,KRISHANA,Krishana Phoschem Limited,BE
KSB.NS,KSB,Ksb Limited,EQ
KSCL.NS,KSCL,Kaveri Seed Company Limited,EQ
KSERASERA.NS,KSERASERA,KSS Limited,BE
KSK.NS,KSK,KSK Energy Ventures Limited,EQ
KSL.NS,KSL,Kalyani Steels Limited,EQ
KTKBANK.NS,KTKBANK,The Karnataka Bank Limited,EQ
KUANTUM.NS,KUANTUM,Kuantum Papers Limited,EQ
KWALITY.NS,KWALITY,kwality limited,BE
L&TFH.NS,L&TFH,L&T Finance Holdings Limited,EQ
LAKPRE.NS,LAKPRE,Lakshmi Precision Screws Limited,BZ
LAKSHVILAS.NS,LAKSHVILAS,Lakshmi Vilas Bank Limited,EQ
LALPATHLAB.NS,LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ
LAMBODHARA.NS,LAMBODHARA,Lambodhara Textiles Limited,EQ
LAOPALA.NS,LAOPALA,La Opala RG Limited,EQ
LASA.NS,LASA,Lasa Supergenerics Limited,BE
LAURUSLABS.NS,LAURUSLABS,Laurus Labs Limited,EQ
LAXMIMACH.NS,LAXMIMACH,Lakshmi Machine Works Limited,EQ
LEMONTREE.NS,LEMONTREE,Lemon Tree Hotels Limited,EQ
LFIC.NS,LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ
LGBBROSLTD.NS,LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ
LGBFORGE.NS,LGBFORGE,LGB Forge Limited,EQ
LIBAS.NS,LIBAS,Libas Designs Limited,BE
LIBERTSHOE.NS,LIBERTSHOE,Liberty Shoes Limited,EQ
LICHSGFIN.NS,LICHSGFIN,LIC Housing Finance Limited,EQ
LINCOLN.NS,LINCOLN,Lincoln Pharmaceuticals Limited,EQ
LINCPEN.NS,LINCPEN,Linc Pen & Plastics Limited,EQ
LINDEINDIA.NS,LINDEINDIA,Linde India Limited,EQ
LOKESHMACH.NS,LOKESHMACH,Lokesh Machines Limited,EQ
LOTUSEYE.NS,LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ
LOVABLE.NS,LOVABLE,Lovable Lingerie Limited,EQ
LPDC.NS,LPDC,Landmark Property Development Company Limited,BE
LSIL.NS,LSIL,Lloyds Steels Industries Limited,EQ
LT.NS,LT,Larsen & Toubro Limited,EQ
LTI.NS,LTI,Larsen & Toubro Infotech Limited,EQ
LTTS.NS,LTTS,L&T Technology Services Limited,EQ
LUMAXIND.NS,LUMAXIND,Lumax Industries Limited,EQ
LUMAXTECH.NS,LUMAXTECH,Lumax Auto Technologies Limited,EQ
LUPIN.NS,LUPIN,Lupin Limited,EQ
LUXIND.NS,LUXIND,Lux Industries Limited,EQ
LYKALABS.NS,LYKALABS,Lyka Labs Limited,EQ
LYPSAGEMS.NS,LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ
M&M.NS,M&M,Mahindra & Mahindra Limited,EQ
M&MFIN.NS,M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ
MAANALU.NS,MAANALU,Maan Aluminium Limited,EQ
MADHAV.NS,MADHAV,Madhav Marbles and Granites Limited,EQ
MADHUCON.NS,MADHUCON,Madhucon Projects Limited,BE
MADRASFERT.NS,MADRASFERT,Madras Fertilizers Limited,BE
MAGADSUGAR.NS,MAGADSUGAR,Magadh Sugar & Energy Limited,EQ
MAGMA.NS,MAGMA,Magma Fincorp Limited,EQ
MAGNUM.NS,MAGNUM,Magnum Ventures Limited,BE
MAHABANK.NS,MAHABANK,Bank of Maharashtra,EQ
MAHAPEXLTD.NS,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,BE
MAHASTEEL.NS,MAHASTEEL,Mahamaya Steel Industries Limited,BE
MAHEPC.NS,MAHEPC,Mahindra EPC Irrigation Limited,EQ
MAHESHWARI.NS,MAHESHWARI,Maheshwari Logistics Limited,EQ
MAHINDCIE.NS,MAHINDCIE,Mahindra CIE Automotive Limited,EQ
MAHLIFE.NS,MAHLIFE,Mahindra Lifespace Developers Limited,EQ
MAHLOG.NS,MAHLOG,Mahindra Logistics Limited,EQ
MAHSCOOTER.NS,MAHSCOOTER,Maharashtra Scooters Limited,EQ
MAHSEAMLES.NS,MAHSEAMLES,Maharashtra Seamless Limited,EQ
MAITHANALL.NS,MAITHANALL,Maithan Alloys Limited,EQ
MAJESCO.NS,MAJESCO,Majesco Limited,EQ
MALUPAPER.NS,MALUPAPER,Malu Paper Mills Limited,EQ
MANAKALUCO.NS,MANAKALUCO,Manaksia Aluminium Company Limited,EQ
MANAKCOAT.NS,MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ
MANAKSIA.NS,MANAKSIA,Manaksia Limited,BE
MANAKSTEEL.NS,MANAKSTEEL,Manaksia Steels Limited,EQ
MANALIPETC.NS,MANALIPETC,Manali Petrochemicals Limited,EQ
MANAPPURAM.NS,MANAPPURAM,Manappuram Finance Limited,EQ
MANGALAM.NS,MANGALAM,Mangalam Drugs And Organics Limited,BE
MANGCHEFER.NS,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ
MANGLMCEM.NS,MANGLMCEM,Mangalam Cement Limited,EQ
MANGTIMBER.NS,MANGTIMBER,Mangalam Timber Products Limited,EQ
MANINDS.NS,MANINDS,Man Industries (India) Limited,EQ
MANINFRA.NS,MANINFRA,Man Infraconstruction Limited,EQ
MANPASAND.NS,MANPASAND,Manpasand Beverages Limited,BZ
MANUGRAPH.NS,MANUGRAPH,Manugraph India Limited,EQ
MARALOVER.NS,MARALOVER,Maral Overseas Limited,EQ
MARATHON.NS,MARATHON,Marathon Nextgen Realty Limited,EQ
MARICO.NS,MARICO,Marico Limited,EQ
MARKSANS.NS,MARKSANS,Marksans Pharma Limited,EQ
MARUTI.NS,MARUTI,Maruti Suzuki India Limited,EQ
MASFIN.NS,MASFIN,MAS Financial Services Limited,EQ
MASKINVEST.NS,MASKINVEST,Mask Investments Limited,BE
MASTEK.NS,MASTEK,Mastek Limited,EQ
MATRIMONY.NS,MATRIMONY,Matrimony.Com Limited,EQ
MAWANASUG.NS,MAWANASUG,Mawana Sugars Limited,EQ
MAXINDIA.NS,MAXINDIA,Max India Limited,EQ
MAXVIL.NS,MAXVIL,Max Ventures and Industries Limited,EQ
MAYURUNIQ.NS,MAYURUNIQ,Mayur Uniquoters Ltd,EQ
MAZDA.NS,MAZDA,Mazda Limited,EQ
MBAPL.NS,MBAPL,Madhya Bharat Agro Products Limited,BE
MBECL.NS,MBECL,Mcnally Bharat Engineering Company Limited,BE
MBLINFRA.NS,MBLINFRA,MBL Infrastructures Limited,BE
MCDHOLDING.NS,MCDHOLDING,McDowell Holdings Limited,BE
MCDOWELL-N.NS,MCDOWELL-N,United Spirits Limited,EQ
MCLEODRUSS.NS,MCLEODRUSS,Mcleod Russel India Limited,BE
MCX.NS,MCX,Multi Commodity Exchange of India Limited,EQ
MEGASOFT.NS,MEGASOFT,Megasoft Limited,EQ
MEGH.NS,MEGH,Meghmani Organics Limited,EQ
MELSTAR.NS,MELSTAR,Melstar Information Technologies Limited,BZ
MENONBE.NS,MENONBE,Menon Bearings Limited,EQ
MEP.NS,MEP,MEP Infrastructure Developers Limited,BE
MERCATOR.NS,MERCATOR,Mercator Limited,BE
METALFORGE.NS,METALFORGE,Metalyst Forgings Limited,BE
METKORE.NS,METKORE,Metkore Alloys & Industries Limited,BZ
METROPOLIS.NS,METROPOLIS,Metropolis Healthcare Limited,EQ
MFSL.NS,MFSL,Max Financial Services Limited,EQ
MGL.NS,MGL,Mahanagar Gas Limited,EQ
MHRIL.NS,MHRIL,Mahindra Holidays & Resorts India Limited,EQ
MIC.NS,MIC,MIC Electronics Limited,BE
MIDHANI.NS,MIDHANI,Mishra Dhatu Nigam Limited,EQ
MINDACORP.NS,MINDACORP,Minda Corporation Limited,EQ
MINDAIND.NS,MINDAIND,Minda Industries Limited,EQ
MINDTECK.NS,MINDTECK,Mindteck (India) Limited,EQ
MINDTREE.NS,MINDTREE,MindTree Limited,EQ
MIRCELECTR.NS,MIRCELECTR,MIRC Electronics Limited,EQ
MIRZAINT.NS,MIRZAINT,Mirza International Limited,EQ
MITTAL.NS,MITTAL,Mittal Life Style Limited,EQ
MMFL.NS,MMFL,MM Forgings Limited,EQ
MMP.NS,MMP,MMP Industries Limited,EQ
MMTC.NS,MMTC,MMTC Limited,EQ
MODIRUBBER.NS,MODIRUBBER,Modi Rubber Limited,BE
MOHITIND.NS,MOHITIND,Mohit Industries Limited,EQ
MOHOTAIND.NS,MOHOTAIND,Mohota Industries Limited,EQ
MOIL.NS,MOIL,MOIL Limited,EQ
MOLDTECH.NS,MOLDTECH,Mold-Tek Technologies Limited,EQ
MOLDTKPAC.NS,MOLDTKPAC,Mold-Tek Packaging Limited,EQ
MONTECARLO.NS,MONTECARLO,Monte Carlo Fashions Limited,EQ
MORARJEE.NS,MORARJEE,Morarjee Textiles Limited,EQ
MOREPENLAB.NS,MOREPENLAB,Morepen Laboratories Limited,EQ
MOTHERSUMI.NS,MOTHERSUMI,Motherson Sumi Systems Limited,EQ
MOTILALOFS.NS,MOTILALOFS,Motilal Oswal Financial Services Limited,EQ
MOTOGENFIN.NS,MOTOGENFIN,The Motor & General Finance Limited,EQ
MPHASIS.NS,MPHASIS,MphasiS Limited,EQ
MPSLTD.NS,MPSLTD,MPS Limited,EQ
MRF.NS,MRF,MRF Limited,EQ
MRO-TEK.NS,MRO-TEK,MRO-TEK Realty Limited,EQ
MRPL.NS,MRPL,Mangalore Refinery and Petrochemicals Limited,EQ
MSPL.NS,MSPL,MSP Steel & Power Limited,BE
MSTCLTD.NS,MSTCLTD,Mstc Limited,EQ
MTEDUCARE.NS,MTEDUCARE,MT Educare Limited,EQ
MTNL.NS,MTNL,Mahanagar Telephone Nigam Limited,EQ
MUKANDENGG.NS,MUKANDENGG,Mukand Engineers Limited,BE
MUKANDLTD.NS,MUKANDLTD,Mukand Limited,EQ
MUKTAARTS.NS,MUKTAARTS,Mukta Arts Limited,EQ
MUNJALAU.NS,MUNJALAU,Munjal Auto Industries Limited,EQ
MUNJALSHOW.NS,MUNJALSHOW,Munjal Showa Limited,EQ
MURUDCERA.NS,MURUDCERA,Murudeshwar Ceramics Limited,EQ
MUTHOOTCAP.NS,MUTHOOTCAP,Muthoot Capital Services Limited,EQ
MUTHOOTFIN.NS,MUTHOOTFIN,Muthoot Finance Limited,EQ
NACLIND.NS,NACLIND,NACL Industries Limited,EQ
NAGAFERT.NS,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,BE
NAGREEKCAP.NS,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ
NAGREEKEXP.NS,NAGREEKEXP,Nagreeka Exports Limited,EQ
NAHARCAP.NS,NAHARCAP,Nahar Capital and Financial Services Limited,EQ
NAHARINDUS.NS,NAHARINDUS,Nahar Industrial Enterprises Limited,EQ
NAHARPOLY.NS,NAHARPOLY,Nahar Poly Films Limited,EQ
NAHARSPING.NS,NAHARSPING,Nahar Spinning Mills Limited,EQ
NAM-INDIA.NS,NAM-INDIA,Nippon Life India Asset Management Limited,EQ
NATCOPHARM.NS,NATCOPHARM,Natco Pharma Limited,EQ
NATHBIOGEN.NS,NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ
NATIONALUM.NS,NATIONALUM,National Aluminium Company Limited,EQ
NATNLSTEEL.NS,NATNLSTEEL,National Steel And Agro Industries Limited,EQ
NAUKRI.NS,NAUKRI,Info Edge (India) Limited,EQ
NAVINFLUOR.NS,NAVINFLUOR,Navin Fluorine International Limited,EQ
NAVKARCORP.NS,NAVKARCORP,Navkar Corporation Limited,EQ
NAVNETEDUL.NS,NAVNETEDUL,Navneet Education Limited,EQ
NBCC.NS,NBCC,NBCC (India) Limited,EQ
NBIFIN.NS,NBIFIN,N. B. I. Industrial Finance Company Limited,EQ
NBVENTURES.NS,NBVENTURES,Nava Bharat Ventures Limited,EQ
NCC.NS,NCC,NCC Limited,EQ
NCLIND.NS,NCLIND,NCL Industries Limited,EQ
NDGL.NS,NDGL,Naga Dhunseri Group Limited,EQ
NDL.NS,NDL,Nandan Denim Limited,EQ
NDTV.NS,NDTV,New Delhi Television Limited,EQ
NECCLTD.NS,NECCLTD,North Eastern Carrying Corporation Limited,EQ
NECLIFE.NS,NECLIFE,Nectar Lifesciences Limited,EQ
NELCAST.NS,NELCAST,Nelcast Limited,EQ
NELCO.NS,NELCO,NELCO Limited,BE
NEOGEN.NS,NEOGEN,Neogen Chemicals Limited,BE
NESCO.NS,NESCO,Nesco Limited,EQ
NESTLEIND.NS,NESTLEIND,Nestle India Limited,EQ
NETWORK18.NS,NETWORK18,Network18 Media & Investments Limited,EQ
NEULANDLAB.NS,NEULANDLAB,Neuland Laboratories Limited,EQ
NEWGEN.NS,NEWGEN,Newgen Software Technologies Limited,EQ
NEXTMEDIA.NS,NEXTMEDIA,Next Mediaworks Limited,BE
NFL.NS,NFL,National Fertilizers Limited,EQ
NH.NS,NH,Narayana Hrudayalaya Ltd.,EQ
NHPC.NS,NHPC,NHPC Limited,EQ
NIACL.NS,NIACL,The New India Assurance Company Limited,EQ
NIBL.NS,NIBL,NRB Industrial Bearings Limited,BE
NIITLTD.NS,NIITLTD,NIIT Limited,EQ
NIITTECH.NS,NIITTECH,NIIT Technologies Limited,EQ
NILAINFRA.NS,NILAINFRA,Nila Infrastructures Limited,EQ
NILASPACES.NS,NILASPACES,Nila Spaces Limited,EQ
NILKAMAL.NS,NILKAMAL,Nilkamal Limited,EQ
NIPPOBATRY.NS,NIPPOBATRY,Indo-National Limited,EQ
NIRAJISPAT.NS,NIRAJISPAT,Niraj Ispat Industries Limited,BE
NITCO.NS,NITCO,Nitco Limited,EQ
NITINFIRE.NS,NITINFIRE,Nitin Fire Protection Industries Limited,BZ
NITINSPIN.NS,NITINSPIN,Nitin Spinners Limited,EQ
NKIND.NS,NKIND,NK Industries Limited,EQ
NLCINDIA.NS,NLCINDIA,NLC India Limited,EQ
NMDC.NS,NMDC,NMDC Limited,EQ
NOCIL.NS,NOCIL,NOCIL Limited,EQ
NOIDATOLL.NS,NOIDATOLL,Noida Toll Bridge Company Limited,EQ
NORBTEAEXP.NS,NORBTEAEXP,Norben Tea & Exports Limited,EQ
NRAIL.NS,NRAIL,N R Agarwal Industries Limited,EQ
NRBBEARING.NS,NRBBEARING,NRB Bearing Limited,EQ
NSIL.NS,NSIL,Nalwa Sons Investments Limited,EQ
NTL.NS,NTL,Neueon Towers Limited,EQ
NTPC.NS,NTPC,NTPC Limited,EQ
NUCLEUS.NS,NUCLEUS,Nucleus Software Exports Limited,EQ
NXTDIGITAL.NS,NXTDIGITAL,NXTDIGITAL LIMITED,EQ
OAL.NS,OAL,Oriental Aromatics Limited,EQ
OBEROIRLTY.NS,OBEROIRLTY,Oberoi Realty Limited,EQ
OCCL.NS,OCCL,Oriental Carbon & Chemicals Limited,EQ
OFSS.NS,OFSS,Oracle Financial Services Software Limited,EQ
OIL.NS,OIL,Oil India Limited,EQ
OILCOUNTUB.NS,OILCOUNTUB,Oil Country Tubular Limited,BE
OISL.NS,OISL,OCL Iron and Steel Limited,BE
OLECTRA.NS,OLECTRA,Olectra Greentech Limited,EQ
OMAXAUTO.NS,OMAXAUTO,Omax Autos Limited,EQ
OMAXE.NS,OMAXE,Omaxe Limited,EQ
OMKARCHEM.NS,OMKARCHEM,Omkar Speciality Chemicals Limited,BE
OMMETALS.NS,OMMETALS,OM Metals Infraprojects Limited,EQ
ONELIFECAP.NS,ONELIFECAP,Onelife Capital Advisors Limited,EQ
ONEPOINT.NS,ONEPOINT,One Point One Solutions Limited,EQ
ONGC.NS,ONGC,Oil & Natural Gas Corporation Limited,EQ
ONMOBILE.NS,ONMOBILE,OnMobile Global Limited,EQ
ONWARDTEC.NS,ONWARDTEC,Onward Technologies Limited,EQ
OPTIEMUS.NS,OPTIEMUS,Optiemus Infracom Limited,BE
OPTOCIRCUI.NS,OPTOCIRCUI,Opto Circuits (India) Limited,BE
ORBTEXP.NS,ORBTEXP,Orbit Exports Limited,EQ
ORICONENT.NS,ORICONENT,Oricon Enterprises Limited,EQ
ORIENTABRA.NS,ORIENTABRA,Orient Abrasives Limited,EQ
ORIENTALTL.NS,ORIENTALTL,Oriental Trimex Limited,EQ
ORIENTBELL.NS,ORIENTBELL,Orient Bell Limited,EQ
ORIENTCEM.NS,ORIENTCEM,Orient Cement Limited,EQ
ORIENTELEC.NS,ORIENTELEC,Orient Electric Limited,EQ
ORIENTHOT.NS,ORIENTHOT,Oriental Hotels Limited,EQ
ORIENTLTD.NS,ORIENTLTD,Orient Press Limited,EQ
ORIENTPPR.NS,ORIENTPPR,Orient Paper & Industries Limited,EQ
ORIENTREF.NS,ORIENTREF,Orient Refractories Limited,EQ
ORISSAMINE.NS,ORISSAMINE,The Orissa Minerals Development Company Limited,EQ
ORTEL.NS,ORTEL,Ortel Communications Limited,BZ
ORTINLABSS.NS,ORTINLABSS,Ortin Laboratories Limited,BE
OSWALAGRO.NS,OSWALAGRO,Oswal Agro Mills Limited,EQ
PAEL.NS,PAEL,PAE Limited,EQ
PAGEIND.NS,PAGEIND,Page Industries Limited,EQ
PAISALO.NS,PAISALO,Paisalo Digital Limited,EQ
PALASHSECU.NS,PALASHSECU,Palash Securities Limited,EQ
PALREDTEC.NS,PALREDTEC,Palred Technologies Limited,EQ
PANACEABIO.NS,PANACEABIO,Panacea Biotec Limited,EQ
PANACHE.NS,PANACHE,Panache Digilife Limited,EQ
PANAMAPET.NS,PANAMAPET,Panama Petrochem Limited,EQ
PAPERPROD.NS,PAPERPROD,Huhtamaki PPL Limited,EQ
PARABDRUGS.NS,PARABDRUGS,Parabolic Drugs Limited,BZ
PARACABLES.NS,PARACABLES,Paramount Communications Limited,EQ
PARAGMILK.NS,PARAGMILK,Parag Milk Foods Limited,EQ
PARSVNATH.NS,PARSVNATH,Parsvnath Developers Limited,BE
PATELENG.NS,PATELENG,Patel Engineering Limited,EQ
PATINTLOG.NS,PATINTLOG,Patel Integrated Logistics Limited,EQ
PATSPINLTD.NS,PATSPINLTD,Patspin India Limited,BE
PCJEWELLER.NS,PCJEWELLER,PC Jeweller Limited,BE
PDMJEPAPER.NS,PDMJEPAPER,Pudumjee Paper Products Limited,EQ
PDSMFL.NS,PDSMFL,PDS Multinational Fashions Limited,EQ
PEARLPOLY.NS,PEARLPOLY,Pearl Polymers Limited,EQ
PEL.NS,PEL,Piramal Enterprises Limited,EQ
PENIND.NS,PENIND,Pennar Industries Limited,EQ
PENINLAND.NS,PENINLAND,Peninsula Land Limited,BE
PERSISTENT.NS,PERSISTENT,Persistent Systems Limited,EQ
PETRONET.NS,PETRONET,Petronet LNG Limited,EQ
PFC.NS,PFC,Power Finance Corporation Limited,EQ
PFIZER.NS,PFIZER,Pfizer Limited,EQ
PFOCUS.NS,PFOCUS,Prime Focus Limited,EQ
PFS.NS,PFS,PTC India Financial Services Limited,EQ
PGEL.NS,PGEL,PG Electroplast Limited,EQ
PGHH.NS,PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ
PGHL.NS,PGHL,Procter & Gamble Health Limited,EQ
PGIL.NS,PGIL,Pearl Global Industries Limited,EQ
PHILIPCARB.NS,PHILIPCARB,Phillips Carbon Black Limited,EQ
PHOENIXLTD.NS,PHOENIXLTD,The Phoenix Mills Limited,EQ
PIDILITIND.NS,PIDILITIND,Pidilite Industries Limited,EQ
PIIND.NS,PIIND,PI Industries Limited,EQ
PILANIINVS.NS,PILANIINVS,Pilani Investment and Industries Corporation Limited,EQ
PILITA.NS,PILITA,PIL ITALICA LIFESTYLE LIMITED,EQ
PIONDIST.NS,PIONDIST,Pioneer Distilleries Limited,BE
PIONEEREMB.NS,PIONEEREMB,Pioneer Embroideries Limited,EQ
PITTIENG.NS,PITTIENG,Pitti Engineering Limited,EQ
PKTEA.NS,PKTEA,The Peria Karamalai Tea & Produce Company Limited,BE
PLASTIBLEN.NS,PLASTIBLEN,Plastiblends India Limited,EQ
PNB.NS,PNB,Punjab National Bank,EQ
PNBGILTS.NS,PNBGILTS,PNB Gilts Limited,EQ
PNBHOUSING.NS,PNBHOUSING,PNB Housing Finance Limited,EQ
PNC.NS,PNC,Pritish Nandy Communications Limited,EQ
PNCINFRA.NS,PNCINFRA,PNC Infratech Limited,EQ
PODDARHOUS.NS,PODDARHOUS,Poddar Housing and Development Limited,EQ
PODDARMENT.NS,PODDARMENT,Poddar Pigments Limited,EQ
POKARNA.NS,POKARNA,Pokarna Limited,BE
POLYCAB.NS,POLYCAB,Polycab India Limited,EQ
POLYMED.NS,POLYMED,Poly Medicure Limited,EQ
POLYPLEX.NS,POLYPLEX,Polyplex Corporation Limited,EQ
PONNIERODE.NS,PONNIERODE,Ponni Sugars (Erode) Limited,EQ
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Limited,EQ
POWERINDIA.NS,POWERINDIA,ABB Power Products and Systems India Limited,EQ
POWERMECH.NS,POWERMECH,Power Mech Projects Limited,EQ
PPAP.NS,PPAP,PPAP Automotive Limited,EQ
PPL.NS,PPL,Prakash Pipes Limited,EQ
PRABHAT.NS,PRABHAT,Prabhat Dairy Limited,EQ
PRADIP.NS,PRADIP,Pradip Overseas Limited,EQ
PRAENG.NS,PRAENG,Prajay Engineers Syndicate Limited,EQ
PRAJIND.NS,PRAJIND,Praj Industries Limited,EQ
PRAKASH.NS,PRAKASH,Prakash Industries Limited,EQ
PRAKASHSTL.NS,PRAKASHSTL,Prakash Steelage Limited,BE
PRAXIS.NS,PRAXIS,Praxis Home Retail Limited,EQ
PRECAM.NS,PRECAM,Precision Camshafts Limited,EQ
PRECOT.NS,PRECOT,Precot Meridian Limited,EQ
PRECWIRE.NS,PRECWIRE,Precision Wires India Limited,EQ
PREMEXPLN.NS,PREMEXPLN,Premier Explosives Limited,BE
PREMIER.NS,PREMIER,Premier Limited,EQ
PREMIERPOL.NS,PREMIERPOL,Premier Polyfilm Limited,EQ
PRESSMN.NS,PRESSMN,Pressman Advertising Limited,EQ
PRESTIGE.NS,PRESTIGE,Prestige Estates Projects Limited,EQ
PRICOLLTD.NS,PRICOLLTD,Pricol Limited,BE
PRIMESECU.NS,PRIMESECU,Prime Securities Limited,EQ
PRINCEPIPE.NS,PRINCEPIPE,Prince Pipes And Fittings Limited,EQ
PROSEED.NS,PROSEED,Proseed India Limited,EQ
PROZONINTU.NS,PROZONINTU,Prozone Intu Properties Limited,BE
PRSMJOHNSN.NS,PRSMJOHNSN,Prism Johnson Limited,EQ
PSB.NS,PSB,Punjab & Sind Bank,EQ
PSL.NS,PSL,PSL Limited,BE
PSPPROJECT.NS,PSPPROJECT,PSP Projects Limited,EQ
PTC.NS,PTC,PTC India Limited,EQ
PTL.NS,PTL,PTL Enterprises Limited,EQ
PUNJABCHEM.NS,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ
PUNJLLOYD.NS,PUNJLLOYD,Punj Lloyd Limited,BZ
PURVA.NS,PURVA,Puravankara Limited,EQ
PVR.NS,PVR,PVR Limited,EQ
QUESS.NS,QUESS,Quess Corp Limited,EQ
QUICKHEAL.NS,QUICKHEAL,Quick Heal Technologies Limited,EQ
RADAAN.NS,RADAAN,Radaan Mediaworks India Limited,EQ
RADICO.NS,RADICO,Radico Khaitan Limited,EQ
RADIOCITY.NS,RADIOCITY,Music Broadcast Limited,EQ
RAIN.NS,RAIN,Rain Industries Limited,EQ
RAJESHEXPO.NS,RAJESHEXPO,Rajesh Exports Limited,EQ
RAJRATAN.NS,RAJRATAN,Rajratan Global Wire Limited,EQ
RAJRAYON.NS,RAJRAYON,Raj Rayon Industries Limited,BZ
RAJSREESUG.NS,RAJSREESUG,Rajshree Sugars & Chemicals Limited,BE
RAJTV.NS,RAJTV,Raj Television Network Limited,EQ
RALLIS.NS,RALLIS,Rallis India Limited,EQ
RAMANEWS.NS,RAMANEWS,Shree Rama Newsprint Limited,EQ
RAMASTEEL.NS,RAMASTEEL,Rama Steel Tubes Limited,EQ
RAMCOCEM.NS,RAMCOCEM,The Ramco Cements Limited,EQ
RAMCOIND.NS,RAMCOIND,Ramco Industries Limited,EQ
RAMCOSYS.NS,RAMCOSYS,Ramco Systems Limited,EQ
RAMKY.NS,RAMKY,Ramky Infrastructure Limited,EQ
RAMSARUP.NS,RAMSARUP,Ramsarup Industries Limited,BZ
RANASUG.NS,RANASUG,Rana Sugars Limited,BE
RANEENGINE.NS,RANEENGINE,Rane Engine Valve Limited,BE
RANEHOLDIN.NS,RANEHOLDIN,Rane Holdings Limited,EQ
RATNAMANI.NS,RATNAMANI,Ratnamani Metals & Tubes Limited,EQ
RAYMOND.NS,RAYMOND,Raymond Limited,EQ
RBL.NS,RBL,Rane Brake Lining Limited,EQ
RBLBANK.NS,RBLBANK,RBL Bank Limited,EQ
RCF.NS,RCF,Rashtriya Chemicals and Fertilizers Limited,EQ
RCOM.NS,RCOM,Reliance Communications Limited,BE
RECLTD.NS,RECLTD,REC Limited,EQ
REDINGTON.NS,REDINGTON,Redington (India) Limited,EQ
REFEX.NS,REFEX,Refex Industries Limited,EQ
RELAXO.NS,RELAXO,Relaxo Footwears Limited,EQ
RELCAPITAL.NS,RELCAPITAL,Reliance Capital Limited,BE
RELIANCE.NS,RELIANCE,Reliance Industries Limited,EQ
RELIGARE.NS,RELIGARE,Religare Enterprises Limited,EQ
RELINFRA.NS,RELINFRA,Reliance Infrastructure Limited,BE
REMSONSIND.NS,REMSONSIND,Remsons Industries Limited,EQ
RENUKA.NS,RENUKA,Shree Renuka Sugars Limited,EQ
REPCOHOME.NS,REPCOHOME,Repco Home Finance Limited,EQ
REPRO.NS,REPRO,Repro India Limited,EQ
RESPONIND.NS,RESPONIND,Responsive Industries Limited,EQ
REVATHI.NS,REVATHI,Revathi Equipment Limited,EQ
RGL.NS,RGL,Renaissance Global Limited,EQ
RHFL.NS,RHFL,Reliance Home Finance Limited,BE
RICOAUTO.NS,RICOAUTO,Rico Auto Industries Limited,EQ
RIIL.NS,RIIL,Reliance Industrial Infrastructure Limited,EQ
RIL-RE.NS,RIL-RE,Reliance Industries Limited-Rights Entitlement,BE
RITES.NS,RITES,RITES Limited,EQ
RKDL.NS,RKDL,Ravi Kumar Distilleries Limited,EQ
RKFORGE.NS,RKFORGE,Ramkrishna Forgings Limited,EQ
RMCL.NS,RMCL,Radha Madhav Corporation Limited,BE
RML.NS,RML,Rane (Madras) Limited,EQ
RNAVAL.NS,RNAVAL,Reliance Naval and Engineering Limited,BE
ROHITFERRO.NS,ROHITFERRO,Rohit Ferro-Tech Limited,BE
